rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
1,094820,일진파워,KOSDAQ,209594055100,전기 및 통신 공사업,13900.0,24.0,15.0,8.0,8,5.0,60.0,11920.0,14.244604316546763,96.63865546218487,31.065687187965118,R,12885.0,11659.8,1,True,15.0,8.0,8.0,0,0,,3,3759817580.0,-3864490.0,,0,2026-01-18 11:46,2
2,270660,에브리봇,KOSDAQ,291043978000,가정용 기기 제조업,23000.0,25.0,0.0,13.0,8,5.0,51.0,20500.0,10.869565217391305,60.50420168067227,40.97188680031388,-,21255.0,20053.2,3,False,0.0,13.0,13.0,0,0,,3,5446559900.0,-4459381850.0,,0,2026-01-18 11:46,2
3,274090,켄코아에어로스페이스,KOSDAQ,261418967840,"항공기,우주선 및 부품 제조업",19780.0,25.0,0.0,12.0,5,7.0,49.0,18130.0,8.341759352881699,100.0,79.2408281049293,-,18178.5,13500.4,8,False,0.0,12.0,12.0,0,0,,2,2510596150.0,-2069558580.0,,0,2026-01-18 11:46,2
4,394800,쓰리빌리언,KOSDAQ,497384714160,자연과학 및 공학 연구개발업,15660.0,18.0,0.0,12.0,8,9.0,47.0,14530.0,7.215836526181353,79.83193277310924,26.101290257972785,-,16816.5,14523.2,9,False,0.0,12.0,12.0,0,0,,3,3475009670.0,-665534990.0,,0,2026-01-18 11:46,2
5,054450,텔레칩스,KOSDAQ,225649071700,반도체 제조업,14900.0,23.0,0.0,12.0,0,10.0,45.0,14500.0,2.684563758389262,100.0,54.51445716302146,-,14790.0,13376.0,6,False,0.0,12.0,12.0,0,0,,0,-2222278980.0,-766452070.0,,0,2026-01-18 11:46,2
6,033530,SJG세종,KOSPI,282104544540,자동차 신품 부품 제조업,10140.0,23.0,5.0,0.0,4,7.0,39.0,9160.0,9.664694280078894,23.529411764705884,28.6342531709983,-,10047.0,9344.8,2,False,5.0,0.0,0.0,0,0,,0,-319638570.0,92419620.0,,0,2026-01-18 11:46,2
7,200710,에이디테크놀로지,KOSDAQ,432794468400,반도체 제조업,32200.0,24.0,0.0,0.0,4,9.0,37.0,30250.0,6.055900621118012,76.47058823529412,37.92687221566455,-,31065.0,27824.0,2,False,0.0,0.0,0.0,0,0,,0,-15124879100.0,253705450.0,,0,2026-01-18 11:46,2
8,000650,천일고속,KOSPI,410186140000,육상 여객 운송업,287000.0,15.0,0.0,12.0,5,5.0,37.0,248000.0,13.588850174216027,73.10924369747899,11.532659056988235,-,325475.0,248937.0,8,False,0.0,12.0,12.0,0,0,,1,200803500.0,-22258500.0,,0,2026-01-18 11:46,2
9,368770,파이버프로,KOSDAQ,427104925000,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",13000.0,25.0,0.0,0.0,2,9.0,36.0,12200.0,6.153846153846154,98.31932773109244,62.68936291680383,-,12245.0,8983.8,1,False,0.0,0.0,0.0,0,0,,1,-2839362430.0,-2468426280.0,,0,2026-01-18 11:46,2
10,211270,AP위성,KOSDAQ,219749169280,통신 및 방송 장비 제조업,14570.0,23.0,0.0,0.0,4,7.0,34.0,13190.0,9.471516815374056,100.0,65.00563865266948,-,13497.0,12208.4,2,False,0.0,0.0,0.0,0,0,,0,-197548160.0,1394724970.0,,0,2026-01-18 11:46,2
11,024060,흥구석유,KOSDAQ,201450000000,기타 전문 도매업,13430.0,25.0,0.0,0.0,4,5.0,34.0,11830.0,11.913626209977663,67.22689075630252,50.96119584565876,-,12495.0,12282.8,0,False,0.0,0.0,0.0,0,0,,0,-2162080980.0,37464570.0,,0,2026-01-18 11:46,2
12,049070,인탑스,KOSDAQ,343312000000,통신 및 방송 장비 제조업,19960.0,25.0,0.0,0.0,2,5.0,32.0,17120.0,14.228456913827655,100.0,51.30701965668921,-,18182.5,16183.6,0,False,0.0,0.0,0.0,0,0,,1,-1863159140.0,-1502785950.0,,0,2026-01-18 11:46,2
13,092200,디아이씨,KOSPI,465885056620,자동차 신품 부품 제조업,11980.0,17.0,0.0,0.0,4,9.0,30.0,11320.0,5.509181969949917,80.67226890756302,23.54683012168002,-,12650.5,10187.6,1,False,0.0,0.0,0.0,0,0,,0,-1736267920.0,10375150.0,,0,2026-01-18 11:46,2
14,039440,에스티아이,KOSDAQ,465986762350,특수 목적용 기계 제조업,30050.0,19.0,0.0,0.0,0,10.0,29.0,29400.0,2.1630615640599005,94.11764705882354,35.246223740608784,-,31167.5,27803.0,1,False,0.0,0.0,0.0,0,0,,0,-1098982350.0,-6842855700.0,,0,2026-01-18 11:46,2
